"Döda efter region och år"

"region","2012","2013","2014","2015","2016","2017"
"1430 Munkedal",135,110,115,129,132,113
"1435 Tanum",146,139,155,132,169,151
"1438 Dals-Ed",53,52,49,54,63,47
"1439 Färgelanda",70,77,76,66,66,98
"1440 Ale",197,210,242,220,235,254
"1441 Lerum",235,292,285,297,298,307
"1442 Vårgårda",94,82,99,94,109,90
"1443 Bollebygd",58,69,57,79,69,80
"1444 Grästorp",64,59,58,55,79,60
"1445 Essunga",67,65,62,60,62,75
"1446 Karlsborg",87,84,87,102,93,74
"1447 Gullspång",79,70,78,69,59,68
"1452 Tranemo",133,105,145,122,113,133
"1460 Bengtsfors",142,153,128,144,144,138
"1461 Mellerud",104,136,119,122,130,132
"1462 Lilla Edet",130,122,128,140,125,127
"1463 Mark",334,370,349,357,357,388
"1465 Svenljunga",119,127,121,116,118,114
"1466 Herrljunga",96,113,88,92,100,101
"1470 Vara",212,184,193,185,217,176
"1471 Götene",133,146,135,137,116,142
"1472 Tibro",120,122,111,120,121,128
"1473 Töreboda",137,112,112,97,110,101
"1480 Göteborg",4522,4499,4210,4255,4261,4266
"1481 Mölndal",493,449,457,510,487,493
"1482 Kungälv",332,349,329,364,385,407
"1484 Lysekil",163,187,162,175,228,187
"1485 Uddevalla",540,567,550,591,552,602
"1486 Strömstad",138,147,118,130,132,119
"1487 Vänersborg",430,407,385,405,430,436
"1488 Trollhättan",599,489,522,557,537,539
"1489 Alingsås",388,364,360,359,380,406
"1490 Borås",1004,973,1018,946,969,1052
"1491 Ulricehamn",250,262,251,235,258,252
"1492 Åmål",177,155,158,172,158,166
"1493 Mariestad",268,267,256,299,268,300
"1494 Lidköping",388,399,392,392,429,427
"1495 Skara",200,199,191,201,192,204
"1496 Skövde",480,457,488,464,462,468
"1497 Hjo",108,119,74,101,104,103
"1498 Tidaholm",158,141,153,135,128,135
"1499 Falköping",355,352,356,389,331,345
"1715 Kil",112,115,100,114,106,123
"1730 Eda",98,94,118,101,127,115
"1737 Torsby",217,209,172,154,192,191
"1760 Storfors",58,48,63,58,54,45
"1761 Hammarö",130,114,124,123,133,139
"1762 Munkfors",62,53,58,74,74,56
"1763 Forshaga",106,147,115,126,119,119
"1764 Grums",124,109,111,111,124,113
"1765 Årjäng",124,124,131,116,111,134
"1766 Sunne",175,188,134,178,163,162
"1780 Karlstad",790,778,743,872,862,771
"1781 Kristinehamn",297,308,320,341,293,298
"1782 Filipstad",157,168,148,172,165,161
"1783 Hagfors",226,193,189,168,159,178
"1784 Arvika",305,352,324,327,318,317
"1785 Säffle",211,203,187,213,197,210
