"Levande födda efter region och år"

"region","2012","2013","2014","2015","2016","2017"
"1419 Tjörn",115,142,143,138,163,160
"1421 Orust",130,112,119,115,116,109
"1427 Sotenäs",65,46,62,67,53,77
"1430 Munkedal",121,101,114,108,106,120
"1435 Tanum",97,121,124,115,132,133
"1438 Dals-Ed",43,52,37,42,45,36
"1439 Färgelanda",50,54,67,61,66,61
"1440 Ale",310,309,294,302,311,356
"1441 Lerum",395,414,449,407,409,409
"1442 Vårgårda",115,122,141,126,152,142
"1443 Bollebygd",90,104,87,87,97,92
"1444 Grästorp",46,49,56,46,60,57
"1445 Essunga",43,52,60,50,64,55
"1446 Karlsborg",45,69,59,54,62,74
"1447 Gullspång",33,39,44,27,48,42
"1452 Tranemo",128,116,111,106,108,106
"1460 Bengtsfors",79,70,69,83,91,83
"1461 Mellerud",72,84,84,87,96,117
"1462 Lilla Edet",133,125,165,168,171,172
"1463 Mark",325,320,324,338,330,340
"1465 Svenljunga",97,97,98,108,92,121
"1466 Herrljunga",96,95,98,90,107,95
"1470 Vara",171,163,148,160,155,173
"1471 Götene",127,141,137,125,120,122
"1472 Tibro",89,121,122,103,100,125
"1473 Töreboda",79,87,92,88,113,94
"1480 Göteborg",7621,7628,7637,7636,7824,7481
"1481 Mölndal",794,711,732,718,815,699
"1482 Kungälv",481,466,447,477,478,455
"1484 Lysekil",136,113,117,108,128,126
"1485 Uddevalla",615,633,623,623,646,672
"1486 Strömstad",161,144,144,157,158,159
"1487 Vänersborg",372,396,446,412,400,430
"1488 Trollhättan",660,690,652,667,695,676
"1489 Alingsås",419,406,445,429,453,426
"1490 Borås",1309,1291,1321,1295,1341,1255
"1491 Ulricehamn",210,230,244,221,273,240
"1492 Åmål",104,89,107,118,131,104
"1493 Mariestad",207,227,228,256,239,228
"1494 Lidköping",380,409,409,412,392,423
"1495 Skara",202,192,222,194,212,206
"1496 Skövde",608,640,626,636,644,668
"1497 Hjo",83,93,95,83,73,83
"1498 Tidaholm",159,134,128,158,136,137
"1499 Falköping",372,371,398,384,406,385
"1715 Kil",129,125,138,130,118,123
"1730 Eda",97,91,89,94,78,91
"1737 Torsby",118,87,109,92,118,110
"1760 Storfors",42,39,41,28,32,39
"1761 Hammarö",171,148,184,160,171,184
"1762 Munkfors",25,22,30,26,28,39
"1763 Forshaga",120,110,114,95,146,121
"1764 Grums",81,93,89,87,88,84
"1765 Årjäng",82,84,80,95,103,93
"1766 Sunne",124,101,115,125,133,135
"1780 Karlstad",1015,978,1025,1016,1027,1079
"1781 Kristinehamn",221,231,225,248,217,251
"1782 Filipstad",90,84,91,111,123,123
"1783 Hagfors",90,79,76,86,99,87
"1784 Arvika",267,275,268,266,289,260
"1785 Säffle",121,132,123,144,160,151
"1814 Lekeberg",76,86,94,92,88,96
"1860 Laxå",45,42,34,56,50,41
"1861 Hallsberg",137,153,148,162,157,160
"1862 Degerfors",69,89,71,65,74,91
"1863 Hällefors",53,64,58,62,77,77
"1864 Ljusnarsberg",28,34,41,41,45,36
"1880 Örebro",1854,1820,1903,1841,1797,1807
"1881 Kumla",241,260,270,226,223,241
"1882 Askersund",113,87,91,90,103,96
"1883 Karlskoga",281,277,287,320,289,303
"1884 Nora",96,97,84,86,96,109
